scenario_time,value,rolling_avg
144.378794,0.756174,27.560413209999997
144.413942,0.309568,27.559722456666666
144.446878,0.14179,27.55923251
144.479987,2.247718,27.560536507777776
144.515164,1.804893,27.561667866666667
144.546583,1.368327,27.562400383333333
144.580211,0.950429,27.562284752222222
144.614,0.598244,27.562511396666665
144.646624,0.493503,27.56176142888889
144.679142,1.25209,27.562922001111115
144.714857,0.878198,27.56242749
144.746658,1.620842,27.563739031111112
144.780033,1.29702,27.56428957888889
144.813631,1.093911,27.564615668888884
144.846535,1.472894,27.565697226666668
144.880076,0.987364,27.56547033888889
144.914522,0.498832,27.565532545555556
144.946735,0.022856,27.56459114333333
144.97987,1.584391,27.565546251111112
145.013559,1.898284,27.56680337777778
145.046731,1.45159,27.567157089999995
145.08005,1.055473,27.567336455555555
145.114432,0.796545,27.56772852111111
145.1464,1.466721,27.56802298222222
145.179946,0.957528,27.56894551111111
145.213483,0.458305,27.56819507222222
145.246856,0.204835,27.567770482222222
145.279989,2.177615,27.569143476666667
145.314215,1.682684,27.569773205555556
145.346575,1.216285,27.570002063333334
145.379644,0.835298,27.570552428888888
145.413457,0.706214,27.569865041111107
145.446487,1.175673,27.570883576666667
145.479823,0.637062,27.570473716666665
145.514446,0.176887,27.56972778333333
145.546699,1.683508,27.570639561111115
145.580317,1.792679,27.57199619777778
145.613231,1.314771,27.57222732
145.646608,0.939561,27.572981572222222
145.680489,0.830714,27.572880251111112
145.714407,1.130595,27.57322399222222
145.746702,0.549136,27.573128255555556
